query,ground_truth_title,TRUE,FALSE
"What's the price and brand of Glow Fever Light up Neon Rave Glasses Glow Flashing Sunglasses Light Up DJ Costume Birthday Favors Glow Party Supplies Christmas Halloween Decor, Tri-Color Shutter?","Glow Fever Light up Neon Rave Glasses Glow Flashing Sunglasses Light Up DJ Costume Birthday Favors Glow Party Supplies Christmas Halloween Decor, Tri-Color Shutter",1,
"Is Rubie's Costume Ho Ho Ho Ugly Christmas Sweater Costume, One Color, Large a good product?","Rubie's Costume Ho Ho Ho Ugly Christmas Sweater Costume, One Color, Large",1,
Can you describe Ultra Pro 65ct Pages - 9 Pocket Pages?,Ultra Pro 65ct Pages - 9 Pocket Pages,1,
Can you show me details about L.O.L. Surprise! Winter Disco Bigger Surprise includes O.M.G. Fashion Doll (Amazon Exclusive)?,L.O.L. Surprise! Winter Disco Bigger Surprise includes O.M.G. Fashion Doll (Amazon Exclusive),1,
"Is HANSA - Spinosaurus 28"", Gray a good product?","HANSA - Spinosaurus 28"", Gray",1,
What is JA-RU Ultra Shot Dart Refill Bundle Pack (16 Piece) used for?,JA-RU Ultra Shot Dart Refill Bundle Pack (16 Piece),1,
"Is School Zone - Golden Retriever Stuffed Animal Plush Toy ""Charlie"" - Ages 1 Month+, Ultra Soft, Creative Play, Imagination, and More (Charlie & Company) a good product?","School Zone - Golden Retriever Stuffed Animal Plush Toy ""Charlie"" - Ages 1 Month+, Ultra Soft, Creative Play, Imagination, and More (Charlie & Company)",,1
Do you have more info on California Costumes Elf in Charge Child Costume-?,California Costumes Elf in Charge Child Costume-,,1
Do you have more info on 3B Scientific U100061 Ultrasonic Continuous Wave Generator?,3B Scientific U100061 Ultrasonic Continuous Wave Generator,1,
"What is Daron Skymarks Emirates A380-800 Airplane Model Building Kit with Gear, 1/200-Scale used for?","Daron Skymarks Emirates A380-800 Airplane Model Building Kit with Gear, 1/200-Scale",1,
"What are the features of Lionel John Deere Battery-powered Model Train Set, Ready to Play with Remote?","Lionel John Deere Battery-powered Model Train Set, Ready to Play with Remote",,1
"What is Funko Plush: Cuphead - Cala Maria Collectible Figure, Multicolor used for?","Funko Plush: Cuphead - Cala Maria Collectible Figure, Multicolor",1,
I'd like to know more about Word Waffle Game Grade 2 (EP62093).,Word Waffle Game Grade 2 (EP62093),,1
How much does Mickey and The Roadster Racers Ball Pit Playland with 15 Balls Playset cost?,Mickey and The Roadster Racers Ball Pit Playland with 15 Balls Playset,1,
How much does Yu-Gi-Oh! Cards: 2018 Holiday Mystery Box- Featuring Legend of Blue Eyes White Dragon | Factory Sealed Packs | Hot Box with Vintage Card 1:5 cost?,Yu-Gi-Oh! Cards: 2018 Holiday Mystery Box- Featuring Legend of Blue Eyes White Dragon | Factory Sealed Packs | Hot Box with Vintage Card 1:5,1,
What are the features of MightySkins Skin Compatible with Razor Hovertrax 2.0 Hover Board Self-Balancing Smart Scooter wrap Cover Sticker Skins Pink Star Rays?,MightySkins Skin Compatible with Razor Hovertrax 2.0 Hover Board Self-Balancing Smart Scooter wrap Cover Sticker Skins Pink Star Rays,1,
What's the price and brand of Funko Pop! Movies: James Bond - M?,Funko Pop! Movies: James Bond - M,,1
I'd like to know more about Wario Child Hat.,Wario Child Hat,1,
What are the features of Professor Pengelly's Putty Thermo Reactive Sunset Red?,Professor Pengelly's Putty Thermo Reactive Sunset Red,1,
What's the price and brand of Millside Industries Wagon Undercarriage?,Millside Industries Wagon Undercarriage,,1
"How much does Shopkins, 5 Wood Puzzles Set cost?","Shopkins, 5 Wood Puzzles Set",1,
